[2016-05-11 11:17:08,913] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/relationship/id/1/ HTTP/1.1" 200 72
[2016-05-11 11:17:08,914] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:08,919] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/village/prov/32/regency/74/subdistrict/01/id/1001/ HTTP/1.1" 200 119
[2016-05-11 11:17:08,921] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:08,925] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/subdistrict/prov/32/regency/74/id/01/ HTTP/1.1" 200 95
[2016-05-11 11:17:08,927] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/population/list/kk/1234/ HTTP/1.1" 200 828
[2016-05-11 11:17:08,929] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:08,934] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/village/prov/32/regency/74/subdistrict/01/id/1001/ HTTP/1.1" 200 119
[2016-05-11 11:17:08,936] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:08,941] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/subdistrict/prov/32/regency/74/id/01/ HTTP/1.1" 200 95
[2016-05-11 11:17:08,942] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:08,948] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/regency/prov/32/id/74/ HTTP/1.1" 200 77
[2016-05-11 11:17:08,949] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:08,954] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/province/id/32/ HTTP/1.1" 200 52
[2016-05-11 11:17:08,956] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/family/list/ HTTP/1.1" 200 2160
[2016-05-11 11:17:33,022] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:36,871] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:36,876] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/religion/id/1/ HTTP/1.1" 200 38
[2016-05-11 11:17:36,878] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
